iter	Passed	Remaining
1195	8283	2105
1196	8290	2098
1197	8296	2091
1198	8303	2084
1199	8309	2077
1200	8315	2070
1201	8321	2063
1202	8328	2056
1203	8334	2049
1204	8340	2041
1205	8346	2034
1206	8353	2027
1207	8359	2020
1208	8365	2013
1209	8372	2006
1210	8378	1999
1211	8384	1992
1212	8391	1985
1213	8398	1978
1214	8404	1971
1215	8410	1964
1216	8416	1957
1217	8422	1950
1218	8428	1942
1219	8434	1935
1220	8440	1928
1221	8446	1921
1222	8453	1914
1223	8459	1907
1224	8464	1900
1225	8471	1893
1226	8477	1886
1227	8484	1879
1228	8491	1872
1229	8498	1865
1230	8504	1858
1231	8510	1851
1232	8517	1844
1233	8523	1837
1234	8530	1830
1235	8536	1823
1236	8542	1816
1237	8548	1809
1238	8555	1802
1239	8561	1795
1240	8567	1788
1241	8573	1781
1242	8580	1774
1243	8586	1766
1244	8593	1760
1245	8599	1753
1246	8606	1746
1247	8612	1739
1248	8618	1732
1249	8624	1724
1250	8631	1717
1251	8637	1710
1252	8642	1703
1253	8648	1696
1254	8655	1689
1255	8662	1682
1256	8668	1675
1257	8675	1668
1258	8682	1661
1259	8688	1654
1260	8694	1647
1261	8701	1640
1262	8707	1633
1263	8712	1626
1264	8719	1619
1265	8725	1612
1266	8731	1605
1267	8738	1598
1268	8743	1591
1269	8749	1584
1270	8756	1577
1271	8762	1570
1272	8768	1563
1273	8775	1556
1274	8781	1549
1275	8786	1542
1276	8793	1535
1277	8800	1528
1278	8806	1521
1279	8813	1514
1280	8819	1507
1281	8825	1500
1282	8831	1493
1283	8838	1486
1284	8844	1479
1285	8850	1472
1286	8857	1465
1287	8863	1458
1288	8869	1451
1289	8876	1444
1290	8883	1438
1291	8889	1431
1292	8897	1424
1293	8903	1417
1294	8909	1410
1295	8915	1403
1296	8921	1396
1297	8927	1389
1298	8933	1382
1299	8939	1375
1300	8945	1368
1301	8952	1361
1302	8958	1354
1303	8965	1347
1304	8971	1340
1305	8978	1333
1306	8984	1326
1307	8990	1319
1308	8996	1312
1309	9003	1305
1310	9009	1298
1311	9014	1291
1312	9021	1284
1313	9027	1277
1314	9033	1270
1315	9040	1263
1316	9046	1257
1317	9052	1250
1318	9059	1243
1319	9066	1236
1320	9072	1229
1321	9079	1222
1322	9085	1215
1323	9091	1208
1324	9097	1201
1325	9103	1194
1326	9109	1187
1327	9115	1180
1328	9121	1173
1329	9127	1166
1330	9133	1159
1331	9140	1152
1332	9146	1145
1333	9153	1138
1334	9159	1132
1335	9167	1125
1336	9172	1118
1337	9179	1111
1338	9185	1104
1339	9191	1097
1340	9197	1090
1341	9203	1083
1342	9209	1076
1343	9215	1069
1344	9221	1062
1345	9227	1055
1346	9233	1048
1347	9239	1041
1348	9245	1034
1349	9251	1027
1350	9256	1020
1351	9263	1014
1352	9270	1007
1353	9277	1000
1354	9283	993
1355	9289	986
1356	9295	979
1357	9301	972
1358	9308	965
1359	9314	958
1360	9319	951
1361	9326	944
1362	9332	938
1363	9339	931
1364	9345	924
1365	9351	917
1366	9358	910
1367	9364	903
1368	9370	896
1369	9377	889
1370	9383	882
1371	9390	876
1372	9396	869
1373	9403	862
1374	9410	855
1375	9416	848
1376	9422	841
1377	9428	834
1378	9434	827
1379	9440	820
1380	9446	813
1381	9452	807
1382	9458	800
1383	9465	793
1384	9472	786
1385	9479	779
1386	9486	772
1387	9491	765
1388	9497	759
1389	9504	752
1390	9510	745
1391	9515	738
1392	9521	731
1393	9528	724
1394	9533	717
1395	9539	710
1396	9546	703
1397	9552	696
1398	9558	690
1399	9564	683
1400	9570	676
1401	9576	669
1402	9582	662
1403	9588	655
1404	9594	648
1405	9601	641
1406	9608	635
1407	9614	628
1408	9619	621
1409	9626	614
1410	9632	607
1411	9639	600
1412	9645	593
1413	9651	586
1414	9657	580
1415	9663	573
1416	9669	566
1417	9676	559
1418	9683	552
1419	9689	545
1420	9696	539
1421	9702	532
1422	9709	525
1423	9716	518
1424	9722	511
1425	9728	504
1426	9734	497
1427	9740	491
1428	9746	484
1429	9752	477
1430	9758	470
1431	9765	463
1432	9771	456
1433	9778	450
1434	9785	443
1435	9791	436
1436	9797	429
1437	9803	422
1438	9809	415
1439	9816	409
1440	9822	402
1441	9829	395
1442	9835	388
1443	9841	381
1444	9847	374
1445	9853	367
1446	9859	361
1447	9866	354
1448	9872	347
1449	9879	340
1450	9885	333
1451	9891	326
1452	9897	320
1453	9903	313
1454	9910	306
1455	9915	299
1456	9921	292
1457	9927	285
1458	9933	279
1459	9939	272
1460	9945	265
1461	9952	258
1462	9957	251
1463	9964	245
1464	9971	238
1465	9978	231
1466	9984	224
1467	9990	217
1468	9996	210
1469	10002	204
1470	10008	197
1471	10014	190
1472	10020	183
1473	10026	176
1474	10033	170
1475	10039	163
1476	10045	156
1477	10051	149
1478	10057	142
1479	10064	136
1480	10071	129
1481	10077	122
1482	10083	115
1483	10089	108
1484	10096	101
1485	10103	95
1486	10109	88
1487	10115	81
1488	10121	74
1489	10127	67
1490	10133	61
1491	10139	54
1492	10146	47
1493	10152	40
1494	10158	33
1495	10164	27
1496	10171	20
1497	10179	13
1498	10185	6
1499	10190	0
